trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",25,14,-16.038794986085243,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,0,-11.74748807288959,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,3,13.680438172738596,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,0,9.565031827331305,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,0,-23.304562676790688,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",20,0,-38.829898865411614,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",30,12,-14.960157585977464,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",30,4,-66.75293365688262,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,16,-6.611404859941453,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,15,-26.210792852743438,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,9,-7.42619195752558,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,0,-25.61814756403154,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",30,13,-22.813215031176156,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,5,-15.172904299877025,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,0,-17.381206212336817,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,15,-22.80242532873618,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,12,-0.5996393114113676,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",30,15,-17.661410465974612,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,8,-14.111768960697175,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,0,-1.331345128280219,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",25,10,4.36730101918676,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",20,7,10.918220488488206,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",25,16,17.60331253374649,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,16,13.461025626176232,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",30,14,28.266118147014787,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",30,12,26.83665226106586,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,16,6.188514112199409,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",30,19,21.80267522197742,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",30,1,-68.45669375937422,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",30,4,-0.6910664061610623,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,16,9.45389311946797,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,2,9.99808983653083,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,18,12.516178476471016,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",30,3,31.133612430093635,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,11,5.606284178634756,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",30,6,-60.98606704064353,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 2}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,6,27.75897151407322,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",30,10,19.203631361772707,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",30,16,9.120970258845375,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",25,15,18.109770931022602,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",20,16,6.981228872676025,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693172}",20,12,11.857029950451732,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",30,16,8.552756557806667,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480062}",25,8,-21.382473424945903,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,8,21.420522318231903,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",35,23,21.241254423909506,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
